id,name,state,url
D000615,Rep. Jeff Duncan,SC,http://jeffduncan.house.gov
D000533,Rep. John Duncan,TN,http://duncan.house.gov
E000290,Rep. Donna Edwards,MD,http://donnaedwards.house.gov
E000288,Rep. Keith Ellison,MN,http://ellison.house.gov
E000291,Rep. Renee Ellmers,NC,http://ellmers.house.gov
E000179,Rep. Eliot Engel,NY,http://engel.house.gov
E000215,Rep. Anna Eshoo,CA,http://eshoo.house.gov
F000460,Rep. Blake Farenthold,TX,http://farenthold.house.gov
F000030,Rep. Sam Farr,CA,http://farr.house.gov
F000458,Rep. Stephen Fincher,TN,http://fincher.house.gov
F000451,Rep. Michael Fitzpatrick,PA,http://fitzpatrick.house.gov
F000444,Sen. Jeff Flake,AZ,http://www.flake.senate.gov
F000459,Rep. Charles Fleischmann,TN,http://fleischmann.house.gov
F000456,Rep. John Fleming,LA,http://fleming.house.gov
F000461,Rep. Bill Flores,TX,http://flores.house.gov
F000445,Rep. J. Forbes,VA,http://forbes.house.gov
F000449,Rep. Jeff Fortenberry,NE,https://fortenberry.house.gov
F000450,Rep. Virginia Foxx,NC,http://foxx.house.gov
F000448,Rep. Trent Franks,AZ,http://franks.house.gov
F000372,Rep. Rodney Frelinghuysen,NJ,http://frelinghuysen.house.gov
F000455,Rep. Marcia Fudge,OH,http://fudge.house.gov
G000559,Rep. John Garamendi,CA,http://garamendi.house.gov
G000562,Sen. Cory Gardner,CO,http://www.gardner.senate.gov
G000548,Rep. Scott Garrett,NJ,http://garrett.house.gov
G000563,Rep. Bob Gibbs,OH,http://gibbs.house.gov
G000564,Rep. Christopher Gibson,NY,http://gibson.house.gov
G000552,Rep. Louie Gohmert,TX,http://gohmert.house.gov
G000289,Rep. Bob Goodlatte,VA,http://goodlatte.house.gov
G000565,Rep. Paul Gosar,AZ,http://gosar.house.gov
G000566,Rep. Trey Gowdy,SC,https://gowdy.house.gov
G000377,Rep. Kay Granger,TX,http://kaygranger.house.gov
G000386,Sen. Charles Grassley,IA,http://www.grassley.senate.gov
G000546,Rep. Sam Graves,MO,https://graves.house.gov
G000560,Rep. Tom Graves,GA,http://tomgraves.house.gov
G000553,Rep. Al Green,TX,http://algreen.house.gov
G000410,Rep. Gene Green,TX,https://green.house.gov
G000568,Rep. H. Griffith,VA,http://morgangriffith.house.gov
G000551,Rep. Raúl Grijalva,AZ,http://grijalva.house.gov
G000558,Rep. Brett Guthrie,KY,http://guthrie.house.gov
G000535,Rep. Luis Gutiérrez,IL,http://gutierrez.house.gov
H001051,Rep. Richard Hanna,NY,http://hanna.house.gov
H001045,Rep. Gregg Harper,MS,http://harper.house.gov
H001052,Rep. Andy Harris,MD,http://harris.house.gov
H001053,Rep. Vicky Hartzler,MO,http://hartzler.house.gov
H000324,Rep. Alcee Hastings,FL,http://alceehastings.house.gov
H001055,Rep. Joseph Heck,NV,https://heck.house.gov
H001046,Sen. Martin Heinrich,NM,http://www.heinrich.senate.gov
H001036,Rep. Jeb Hensarling,TX,http://hensarling.house.gov
H001056,Rep. Jaime Herrera Beutler,WA,http://herrerabeutler.house.gov
H001038,Rep. Brian Higgins,NY,http://higgins.house.gov
H001047,Rep. James Himes,CT,http://himes.house.gov
H000636,Rep. Rubén Hinojosa,TX,http://hinojosa.house.gov
H001042,Sen. Mazie Hirono,HI,https://www.hirono.senate.gov
H001061,Sen. John Hoeven,ND,http://www.hoeven.senate.gov
H001034,Rep. Michael Honda,CA,https://honda.house.gov
H000874,Rep. Steny Hoyer,MD,http://hoyer.house.gov
H001057,Rep. Tim Huelskamp,KS,http://huelskamp.house.gov
H001058,Rep. Bill Huizenga,MI,http://huizenga.house.gov
H001059,Rep. Randy Hultgren,IL,http://hultgren.house.gov
H001048,Rep. Duncan Hunter,CA,http://hunter.house.gov
H001060,Rep. Robert Hurt,VA,https://hurt.house.gov
I000055,Sen. John Isakson,GA,http://www.isakson.senate.gov
I000057,Rep. Steve Israel,NY,http://israel.house.gov
I000056,Rep. Darrell Issa,CA,http://issa.house.gov
J000032,Rep. Sheila Jackson Lee,TX,http://jacksonlee.house.gov
J000290,Rep. Lynn Jenkins,KS,http://lynnjenkins.house.gov
J000292,Rep. Bill Johnson,OH,http://billjohnson.house.gov
